RO Collinge,12.0,6,5,23,1,1.91,East Africa,Birmingham,Sat Jun 07 00:00:00 BST 1975
Sir RJ Hadlee,12.0,6,6,10,0,0.83,East Africa,Birmingham,Sat Jun 07 00:00:00 BST 1975
BJ McKechnie,12.0,6,2,39,0,3.25,East Africa,Birmingham,Sat Jun 07 00:00:00 BST 1975
DR Hadlee,12.0,6,1,21,3,1.75,East Africa,Birmingham,Sat Jun 07 00:00:00 BST 1975
HJ Howarth,12.0,6,3,29,3,2.41,East Africa,Birmingham,Sat Jun 07 00:00:00 BST 1975
Naseer Malik,12.0,6,2,37,2,3.08,Australia,Leeds,Sat Jun 07 00:00:00 BST 1975
Asif Masood,12.0,6,0,50,1,4.16,Australia,Leeds,Sat Jun 07 00:00:00 BST 1975
Sarfraz Nawaz,12.0,6,0,63,1,5.25,Australia,Leeds,Sat Jun 07 00:00:00 BST 1975
Asif Iqbal,12.0,6,0,58,1,4.83,Australia,Leeds,Sat Jun 07 00:00:00 BST 1975
Imran Khan,10.0,6,0,44,2,4.4,Australia,Leeds,Sat Jun 07 00:00:00 BST 1975
Wasim Raja,2.0,6,0,13,0,6.5,Australia,Leeds,Sat Jun 07 00:00:00 BST 1975
DK Lillee,12.0,6,2,34,5,2.83,Pakistan,Leeds,Sat Jun 07 00:00:00 BST 1975
JR Thomson,8.0,6,2,25,1,3.12,Pakistan,Leeds,Sat Jun 07 00:00:00 BST 1975
MHN Walker,12.0,6,3,32,2,2.66,Pakistan,Leeds,Sat Jun 07 00:00:00 BST 1975
AA Mallett,12.0,6,1,49,1,4.08,Pakistan,Leeds,Sat Jun 07 00:00:00 BST 1975
KD Walters,6.0,6,0,29,1,4.83,Pakistan,Leeds,Sat Jun 07 00:00:00 BST 1975
GS Chappell,3.0,6,0,17,0,5.66,Pakistan,Leeds,Sat Jun 07 00:00:00 BST 1975
AME Roberts,12.0,6,5,16,2,1.33,Sri Lanka,Manchester,Sat Jun 07 00:00:00 BST 1975
BD Julien,12.0,6,3,20,4,1.66,Sri Lanka,Manchester,Sat Jun 07 00:00:00 BST 1975
KD Boyce,8.0,6,1,22,3,2.75,Sri Lanka,Manchester,Sat Jun 07 00:00:00 BST 1975
LR Gibbs,4.0,6,0,17,0,4.25,Sri Lanka,Manchester,Sat Jun 07 00:00:00 BST 1975
VA Holder,1.3333333333333333,6,0,2,1,1.5,Sri Lanka,Manchester,Sat Jun 07 00:00:00 BST 1975
ARM Opatha,4.0,6,0,19,0,4.75,West Indies,Manchester,Sat Jun 07 00:00:00 BST 1975
HSM Pieris,2.0,6,0,13,0,6.5,West Indies,Manchester,Sat Jun 07 00:00:00 BST 1975
DS de Silva,8.0,6,1,33,1,4.12,West Indies,Manchester,Sat Jun 07 00:00:00 BST 1975
LWS Kaluperuma,6.666666666666667,6,1,17,0,2.55,West Indies,Manchester,Sat Jun 07 00:00:00 BST 1975
RO Collinge,12.0,6,2,43,2,3.58,England,Nottingham,Wed Jun 11 00:00:00 BST 1975
Sir RJ Hadlee,12.0,6,2,66,1,5.5,England,Nottingham,Wed Jun 11 00:00:00 BST 1975
DR Hadlee,12.0,6,1,55,2,4.58,England,Nottingham,Wed Jun 11 00:00:00 BST 1975
BJ McKechnie,12.0,6,2,38,0,3.16,England,Nottingham,Wed Jun 11 00:00:00 BST 1975
HJ Howarth,12.0,6,2,56,0,4.66,England,Nottingham,Wed Jun 11 00:00:00 BST 1975
GG Arnold,12.0,6,3,35,1,2.91,New Zealand,Nottingham,Wed Jun 11 00:00:00 BST 1975
P Lever,12.0,6,0,37,1,3.08,New Zealand,Nottingham,Wed Jun 11 00:00:00 BST 1975
CM Old,12.0,6,2,29,2,2.41,New Zealand,Nottingham,Wed Jun 11 00:00:00 BST 1975
AW Greig,12.0,6,0,45,4,3.75,New Zealand,Nottingham,Wed Jun 11 00:00:00 BST 1975
DL Underwood,12.0,6,2,30,2,2.5,New Zealand,Nottingham,Wed Jun 11 00:00:00 BST 1975
S Abid Ali,12.0,6,5,22,2,1.83,East Africa,Leeds,Wed Jun 11 00:00:00 BST 1975
S Madan Lal,9.5,6,2,15,3,1.57,East Africa,Leeds,Wed Jun 11 00:00:00 BST 1975
BS Bedi,12.0,6,8,6,1,0.5,East Africa,Leeds,Wed Jun 11 00:00:00 BST 1975
S Venkataraghavan,12.0,6,4,29,0,2.41,East Africa,Leeds,Wed Jun 11 00:00:00 BST 1975
M Amarnath,10.0,6,0,39,2,3.9,East Africa,Leeds,Wed Jun 11 00:00:00 BST 1975
Frasat Ali,6.0,6,1,17,0,2.83,India,Leeds,Wed Jun 11 00:00:00 BST 1975
DJ Pringle,3.0,6,0,14,0,4.66,India,Leeds,Wed Jun 11 00:00:00 BST 1975
Zulfiqar Ali,11.0,6,3,32,0,2.9,India,Leeds,Wed Jun 11 00:00:00 BST 1975
PG Nana,4.833333333333333,6,0,36,0,7.44,India,Leeds,Wed Jun 11 00:00:00 BST 1975
RK Sethi,5.0,6,0,20,0,4.0,India,Leeds,Wed Jun 11 00:00:00 BST 1975
ARM Opatha,9.0,6,0,32,0,3.55,Australia,The Oval,Wed Jun 11 00:00:00 BST 1975
HSM Pieris,11.0,6,0,68,2,6.18,Australia,The Oval,Wed Jun 11 00:00:00 BST 1975
B Warnapura,9.0,6,0,40,0,4.44,Australia,The Oval,Wed Jun 11 00:00:00 BST 1975
AN Ranasinghe,7.0,6,0,55,0,7.85,Australia,The Oval,Wed Jun 11 00:00:00 BST 1975
DS de Silva,12.0,6,3,60,2,5.0,Australia,The Oval,Wed Jun 11 00:00:00 BST 1975
LWS Kaluperuma,12.0,6,0,50,1,4.16,Australia,The Oval,Wed Jun 11 00:00:00 BST 1975
